"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",1110.65293251677,0.0294765681562418,0.138085228560433,0.213466483443169,0.830963128959222,0.99926898042189
"ENSMUSG00000000028",16.5456507321568,-0.410481684133341,0.65560590451163,-0.626110413753998,0.531242522175474,0.998756100934664
"ENSMUSG00000000049",15632.5954701302,-0.0743639582087167,0.108796939878915,-0.683511487469036,0.494283693859012,0.998756100934664
"ENSMUSG00000000056",635.884710035332,0.326182990922934,0.18789205313595,1.7360127023942,0.0825615885869694,0.669185772851393
"ENSMUSG00000000058",50.6801751817311,-0.0127335170286744,0.338400208188326,-0.0376285732708177,0.969983825873752,0.999444052881474
"ENSMUSG00000000078",142.19426393367,-0.171216335941903,0.288331702316469,-0.593817240928916,0.552634356315217,0.998756100934664
"ENSMUSG00000000085",92.2036077961425,-0.315258149587391,0.299820385915646,-1.05149004002713,0.293033581451538,0.957619607018898
"ENSMUSG00000000088",866.799543372391,-0.202354795333177,0.134740339473192,-1.50181301401158,0.133145406374959,0.797100885203353
"ENSMUSG00000000093",23.8951642841394,0.287248857697359,0.477623849727552,0.601412299367404,0.547565408696266,0.998756100934664
"ENSMUSG00000000120",50.1833731056483,0.112233391190607,0.441588070693001,0.254158566861815,0.799373058611444,0.99926898042189
"ENSMUSG00000000126",2.84802045522353,1.8763318049313,1.45855562803462,1.28643143179916,0.198292534650322,0.890991152450445
"ENSMUSG00000000127",104.632489723532,-0.138888534933785,0.234576936548022,-0.592080947844383,0.553796384229923,0.998756100934664
"ENSMUSG00000000131",470.782952163233,0.236566247864729,0.202907159532595,1.1658841827448,0.243661274901071,0.932279332064643
"ENSMUSG00000000134",331.485140063242,-0.40171347322466,0.271902511697337,-1.47741729459204,0.139563813032943,0.8109699966213
"ENSMUSG00000000142",36.0617988989661,0.0632468119377713,0.425528998055374,0.148631026855521,0.881844789043144,0.99926898042189
"ENSMUSG00000000148",98.5681937722736,0.298198781943146,0.276285470801808,1.07931401921984,0.280447765378965,0.950744884509909
"ENSMUSG00000000149",1193.80511637126,-0.203471657650568,0.134881973856198,-1.50851631121218,0.131422435229397,0.797100885203353
"ENSMUSG00000000154",785.266219280275,-0.211768591711159,0.165391248749464,-1.28040989660794,0.200401015193577,0.891271727848484
"ENSMUSG00000000157",7.06919503096424,0.0105266801173611,0.825389226745628,0.0127535952448351,0.989824379111397,0.999966286131507
"ENSMUSG00000000159",259.783729623581,-0.0612724779970592,0.170943216055006,-0.358437611103228,0.720015849292156,0.99926898042189
"ENSMUSG00000000167",4.90347965815205,0.0971174717244075,1.01561591185111,0.0956242124519266,0.923819034561329,0.999444052881474
"ENSMUSG00000000168",517.36099192931,-0.0600653236340577,0.148774637026777,-0.403733625801063,0.68640860981284,0.99926898042189
"ENSMUSG00000000171",1658.47444399396,-0.0778552856245636,0.141545201185806,-0.55003832678413,0.582293085983568,0.99926898042189
"ENSMUSG00000000184",122.698104448939,0.263940409273068,0.240055776714494,1.09949617911916,0.271551699674638,0.944865508521787
"ENSMUSG00000000194",209.210207150008,0.0326989425572636,0.217546319874871,0.150307955455516,0.880521656750846,0.99926898042189
"ENSMUSG00000000204",5.92517975476822,-0.12910684933867,1.03775229971802,-0.12441008261196,0.900990590600913,0.999444052881474
"ENSMUSG00000000244",3.50720557672013,0.224347507387388,1.25525475291143,0.178726674300207,0.8581523233458,0.99926898042189
"ENSMUSG00000000247",18.4492848233016,0.343995297467632,0.520829595375754,0.66047571129182,0.508948600203825,0.998756100934664
"ENSMUSG00000000253",7.30998129526828,0.734820905442785,0.849596364866734,0.864905896293526,0.387090441063998,0.981611386655388
"ENSMUSG00000000266",104.375439450348,-0.0337058148063556,0.280820045734585,-0.120026384577305,0.904462247173988,0.999444052881474
"ENSMUSG00000000275",1190.93253840163,0.0688972989163359,0.173106788354615,0.398004604967873,0.690626791298396,0.99926898042189
"ENSMUSG00000000276",20.9463048644314,-0.142950899405251,0.497781166214078,-0.28717619128196,0.773977415467892,0.99926898042189
"ENSMUSG00000000278",410.005899175562,-0.00543087706028614,0.150856760269504,-0.0360002233283013,0.971282180880729,0.999444052881474
"ENSMUSG00000000282",96.4976885219304,0.421763440391219,0.449296992646256,0.938718592143538,0.347875245179247,0.973896444169266
"ENSMUSG00000000290",116.600790859438,-0.131765122404023,0.238999295304551,-0.551320129359036,0.581414241971353,0.99926898042189
"ENSMUSG00000000295",6.12326231710957,0.379177660384202,0.892764546357991,0.424723026839548,0.671038595552142,0.99926898042189
"ENSMUSG00000000296",65.1451439057578,-0.239867121784302,0.30611712884221,-0.783579549081499,0.433286859692899,0.98800670552206
"ENSMUSG00000000301",2368.20081776976,0.0990751033484349,0.133689096445027,0.74108589243981,0.458641362860471,0.995523932141239
"ENSMUSG00000000303",447.69458669326,-0.0202754894683312,0.143912393556175,-0.140887723199579,0.88795864087276,0.99926898042189
"ENSMUSG00000000305",4.50025831446399,-0.444397206839243,1.07176747401142,-0.414639572122815,0.678405774767899,0.99926898042189
"ENSMUSG00000000317",40.6941494050266,-0.845736767546493,0.424870777304736,-1.99057410564128,0.0465277293991809,0.51548283048742
"ENSMUSG00000000318",4.40221306927192,-0.464024775680859,1.10059736176088,-0.421611746314247,0.673308431101452,0.99926898042189
"ENSMUSG00000000320",9.10365872050736,0.000481428685398937,0.807619836919823,0.000596108049097773,0.999524374619223,0.999966286131507
"ENSMUSG00000000325",105.364430413604,0.352501882186321,0.298922827922739,1.17924042347622,0.238302453823388,0.928618331647722
"ENSMUSG00000000326",7579.26200443769,0.0101091080883334,0.162712497935495,0.0621286515577989,0.950460380422245,0.999444052881474
"ENSMUSG00000000339",75.0131500570359,0.0649945904961026,0.295983858443644,0.219588293895012,0.826191809025615,0.99926898042189
"ENSMUSG00000000340",1003.93067930889,-0.251329121018813,0.168861042296706,-1.48837835891835,0.136651140505466,0.804307443284817
"ENSMUSG00000000346",1286.28177703228,-0.265749103945059,0.120852761154352,-2.19894937779409,0.02788152201528,0.399455904128269
"ENSMUSG00000000355",227.859063545512,-0.0623282425629087,0.195827146830851,-0.318281931650394,0.75027108869717,0.99926898042189
"ENSMUSG00000000359",4.31509656125606,-0.334047604352927,1.09772960938572,-0.304307728876747,0.760893457418496,0.99926898042189
"ENSMUSG00000000374",332.068941578261,-0.0647350426544267,0.17159202550214,-0.377261370188904,0.705979376934311,0.99926898042189
"ENSMUSG00000000378",202.954682539397,-0.3272442657818,0.224248960914977,-1.45928999825276,0.144485307053463,0.818694968304082
"ENSMUSG00000000384",315.889154005344,-0.0660490578642733,0.19044314277405,-0.346817726814333,0.728728258699388,0.99926898042189
"ENSMUSG00000000385",34.9066303628174,-0.0197653366253294,0.46774085193604,-0.0422570244688231,0.966293804168386,0.999444052881474
"ENSMUSG00000000386",16.9183760333481,0.0318338975255691,0.562139289256913,0.0566299102979443,0.954840007797634,0.999444052881474
"ENSMUSG00000000392",2.13625216050801,1.24838152876021,1.53996211085941,0.810657301213421,0.417562500469735,NA
"ENSMUSG00000000399",896.710737385668,-0.171076267919385,0.128562046154558,-1.3306903011929,0.183290935649007,0.877239076952632
"ENSMUSG00000000409",12.2062524356569,0.753638559926852,0.647449371575619,1.16401157065426,0.244419322740879,0.932279332064643
"ENSMUSG00000000416",2.72248522498676,-0.127653770289779,1.6167528597916,-0.0789568854118083,0.93706691640807,0.999444052881474
"ENSMUSG00000000420",611.407223536485,0.106175080592877,0.149673191215074,0.709379413446919,0.478089059437625,0.998756100934664
"ENSMUSG00000000439",137.371105788348,0.0806556287454391,0.225670942831524,0.357403694660208,0.7207896112312,0.99926898042189
"ENSMUSG00000000440",113.94454725054,0.165911959934689,0.226153918617318,0.733624077570966,0.463177882262198,0.995523932141239
"ENSMUSG00000000441",910.233643224061,-0.475322024305437,0.212481365156701,-2.23700569673437,0.0252859677147774,0.377941269958196
"ENSMUSG00000000486",12.1076655815177,0.838126539219021,0.731740084939235,1.14538830996066,0.252048338664853,0.936323412293113
"ENSMUSG00000000489",13.3661280422049,0.588245368380305,0.660487985304659,0.890622360237133,0.373131799310994,0.979524562759942
"ENSMUSG00000000530",38.7187928135573,-0.104699585324235,0.394751936815098,-0.265228807156622,0.790833204426672,0.99926898042189
"ENSMUSG00000000531",14.2851196940896,-0.0565172275180779,0.665670279449864,-0.0849027352772697,0.932338717204872,0.999444052881474
"ENSMUSG00000000532",107.511885812724,0.309937232426667,0.256419166129031,1.20871320621449,0.226773046264812,0.921796757416229
"ENSMUSG00000000538",409.895626441744,0.0217872974046412,0.154746228295061,0.140793721725472,0.888032902997208,0.99926898042189
"ENSMUSG00000000552",87.6990426798419,-0.492194533949126,0.305670270623087,-1.61021395029953,0.107351156950369,0.737945136104388
"ENSMUSG00000000555",198.256083085754,-0.282406778146869,0.207493486264496,-1.36103924624834,0.1735012872119,0.867066433994094
"ENSMUSG00000000561",339.631941979172,-0.222875480981994,0.165689694317956,-1.34513786086357,0.178580718582002,0.870651907713277
"ENSMUSG00000000563",2770.58645853767,-0.111468163819973,0.156832895664481,-0.710744792077559,0.477242397430282,0.998365291273121
"ENSMUSG00000000567",49.2289356273522,-0.605441179280895,0.369665950572714,-1.63780618242741,0.101462131492063,0.724374285236705
"ENSMUSG00000000568",235.368222547648,0.137129045812927,0.187387352114253,0.731794564925154,0.464293966927073,0.995523932141239
"ENSMUSG00000000579",18.4123494376948,-0.093618683769698,0.63008308926847,-0.148581489273724,0.881883880281035,0.99926898042189
"ENSMUSG00000000581",332.314222504645,0.0800223407279663,0.168923558678856,0.473719245283592,0.63570012758648,0.99926898042189
"ENSMUSG00000000594",979.075968755255,-0.360550881725815,0.143472686144861,-2.51302802933358,0.0119699824144775,0.248249950186362
"ENSMUSG00000000600",235.131717152513,-0.0884085859993017,0.220554934380039,-0.400846103252284,0.688533433171403,0.99926898042189
"ENSMUSG00000000605",699.721248026675,-0.0443909035046747,0.140919735565983,-0.31500842182527,0.752755259472794,0.99926898042189
"ENSMUSG00000000628",9.65811708374529,-0.483792887868395,0.836806867373919,-0.578141631875754,0.563168501625221,0.99926898042189
"ENSMUSG00000000631",1048.57259764833,-0.19312173933571,0.204592308411477,-0.943934504846113,0.345203118215816,0.972758938139556
"ENSMUSG00000000673",3970.23877561565,0.0632338606680907,0.122998161871696,0.514104111035839,0.607179203339017,0.99926898042189
"ENSMUSG00000000682",58.8784208869768,0.114828396976938,0.313768548333587,0.365965287428544,0.714390978056694,0.99926898042189
"ENSMUSG00000000686",228.305325075226,0.366319166079714,0.197941912471298,1.85063972306942,0.0642214010114093,0.600044189189104
"ENSMUSG00000000693",21.6027613572107,0.160500429110274,0.603680928980395,0.265869636434194,0.79033961032611,0.99926898042189
"ENSMUSG00000000708",1012.09459162084,-0.476638899016592,0.189175654407945,-2.51955728927334,0.011750251731549,0.24518748592082
"ENSMUSG00000000711",1327.29210888142,-0.0671505717404944,0.126807809088153,-0.529546028934331,0.59642672287742,0.99926898042189
"ENSMUSG00000000732",14.3547296596357,0.00162995269903334,0.755394037398086,0.00215775160821712,0.998278364641714,0.999966286131507
"ENSMUSG00000000738",397.257074040868,-0.291076677827397,0.172839505504325,-1.68408649965799,0.0921649530395118,0.695073455486308
"ENSMUSG00000000739",78.1997233880887,1.12488855238189,0.341812921301858,3.29094800775097,0.000998503661209818,0.0413224760295105
"ENSMUSG00000000740",335.827551840178,-0.114556922814991,0.355850716899327,-0.321924102930499,0.747510192904146,0.99926898042189
"ENSMUSG00000000743",557.631119376361,0.0417005221817657,0.150173772762223,0.277681790999498,0.781256639767805,0.99926898042189
"ENSMUSG00000000751",306.144786492467,0.281388980198197,0.183635646672789,1.53232221138192,0.12544294265731,0.781053931765565
"ENSMUSG00000000753",5198.42817383774,-0.066887536638841,0.119110281083638,-0.561559724570489,0.574416027620057,0.99926898042189
"ENSMUSG00000000759",210.529845724775,0.0414875583897241,0.239290952387061,0.173377045708843,0.862355066733041,0.99926898042189
"ENSMUSG00000000776",77.9275116175783,0.395723038974256,0.327725941458444,1.20748158419566,0.227246733049922,0.922369762081472
"ENSMUSG00000000782",36.2150368362731,-0.179798136816474,0.375207324656371,-0.479196766697291,0.631798654223575,0.99926898042189
"ENSMUSG00000000787",2712.82537427199,-0.380224206740052,0.144857492606148,-2.62481560255803,0.00866959047497088,0.200226628370805
"ENSMUSG00000000791",10.7397159652614,0.26859000143789,0.684914333475202,0.392151234556714,0.694946473327869,0.99926898042189
"ENSMUSG00000000804",454.012300738056,0.257585851090491,0.155116704018882,1.66059389103017,0.0967950367297844,0.708729956217591
"ENSMUSG00000000811",75.8093886829093,0.205556278600367,0.271716940980917,0.756508879638841,0.449344150561609,0.994148678084718
"ENSMUSG00000000817",2.57882219470107,-0.85404956382918,1.5148470432373,-0.56378600575015,0.572899776847769,0.99926898042189
"ENSMUSG00000000823",264.274938079342,-0.299016494281984,0.25359709521715,-1.17910062820689,0.238358108497953,0.928618331647722
"ENSMUSG00000000826",829.723132103744,-0.0815811102210782,0.133747152166621,-0.609965213460733,0.541884851435456,0.998756100934664
"ENSMUSG00000000827",266.189138834603,0.0548951788043818,0.192576400557872,0.285056625034826,0.775600760156312,0.99926898042189
"ENSMUSG00000000838",282.019644010644,0.0768807427878806,0.218820840378573,0.351341045281028,0.725332505512004,0.99926898042189
"ENSMUSG00000000861",2.30719972034764,-0.319391862512889,1.60422428606517,-0.199094269602596,0.842189003696221,0.99926898042189
"ENSMUSG00000000876",968.008415569494,-0.22253704391745,0.129521319097928,-1.71814991900442,0.0857692735748388,0.679975505603725
"ENSMUSG00000000881",148.877860664552,-0.374655278233234,0.274267241169513,-1.36602270338832,0.171931837537871,0.867066433994094
"ENSMUSG00000000884",14.3628665976042,0.277539632688893,0.655443423049393,0.42343797027921,0.671975746595824,0.99926898042189
"ENSMUSG00000000901",4.59916860658198,2.04193345049551,1.3795337132987,1.48016205099685,0.138830005204437,0.809342732471107
"ENSMUSG00000000902",166.482109393354,-0.0457487748987076,0.208117334444329,-0.219822029822053,0.826009761928802,0.99926898042189
"ENSMUSG00000000915",416.159025987007,-0.163603585443415,0.235395196016513,-0.695016670739273,0.487044854240608,0.998756100934664
