# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0051252	BP	e	regulation of RNA metabolic process	1268/7672	2286/15423	3.2181615204638884e-09	6	1268	4.610826943227066e-05	2700081O15Rik, Aamdc, Abca2, Abce1, Ablim2, Ablim3, Actn4, Actr3, Acvr1, Acvr2a, Acvr2b, Acvrl1, Adam8, Adrb2, Aebp2, Afap1l2, Aff1, Ager, Ago2, Agt, Ahctf1, Ahcyl1, Ahi1, Aim2, Akap8l, Akirin2, Akna, Akr1c6, Akt2, Alkbh5, Ankrd42, Anxa4, Apbb3, Apc, Apobec1, App, Ar, Arhgef10l, Arhgef11, Arhgef2, Arhgef5, Arid1a, Arid4a, Arid4b, Armcx3, Arntl, Arntl2, Arrb1, Arrb2, Ascc1, Ash1l, Ash2l, Asxl1, Asxl2, Atad2b, Atf2, Atf3, Atf4, Atm, Atn1, Atoh8, Atp8b1, Atrx, Atxn1, Atxn1l, Atxn7, Atxn7l3, Axin1, Bach1, Bach2, Bag1, Bag3, Bag4, Bahd1, Bambi, Batf, Baz2a, Bcl10, Bcl11a, Bcl3, Bcl6b, Bcl9l, Bclaf1, Bcor, Bdp1, Bend3, Bhlha15, Bhlhe40, Bloc1s2, Bmp10, Bmp6, Bmper, Bmpr1a, Bmpr2, Bptf, Brca2, Brd2, Brd4, Brd7, Brdt, Brf1, Brip1, Brms1l, Brpf1, Brwd1, Brwd3, Btg2, C1qbp, Cacna1d, Cactin, Calcoco1, Calr, Camk1d, Camk2a, Camk4, Camta1, Camta2, Cand1, Card11, Cat, Cav1, Cbfb, Cbx3, Cbx7, Ccar1, Ccl5, Ccnh, Ccnk, Ccnl1, Ccnl2, Ccnt1, Cd36, Cd38, Cd74, Cd81, Cdc45, Cdc5l, Cdc73, Cdh1, Cdk11b, Cdk12, Cdk13, Cdk5r1, Cdk5rap2, Cdk6, Cdk7, Cdk9, Cebpb, Cebpd, Cebpg, Cebpz, Celf1, Cflar, Chchd10, Chchd2, Chchd3, Chd1, Chd4, Chd6, Chd7, Chek1, Chp1, Chp2, Chuk, Ciao1, Cir1, Ckap2, Cks2, Clk1, Clk3, Clk4, Clock, Cnbp, Cnot1, Cnot3, Cnot6, Cnot6l, Cnot7, Commd6, Commd7, Cops2, Cops5, Cpeb3, Cpsf6, Cpsf7, Creb1, Creb3l3, Creb5, Crebbp, Crebl2, Creg1, Crem, Crlf3, Crtc1, Crtc2, Crtc3, Cry1, Crym, Csrnp1, Csrnp2, Csrp3, Ctbp1, Ctcfl, Ctdp1, Ctdsp2, Ctdspl, Ctdspl2, Cth, Ctnnb1, Ctnnbip1, Ctr9, Cul3, Cux1, Cxxc5, Cyld, Cys1, Dcaf6, Dcp1a, Ddit3, Ddrgk1, Ddx20, Ddx39b, Ddx3x, Ddx5, Dedd, Dgkq, Dhx33, Dhx36, Dhx9, Dicer1, Dimt1, Dlg1, Dll1, Dmtf1, Dnaja3, Dnajb1, Dnajb4, Dnd1, Dnmt3b, Dot1l, Dr1, Dusp5, Dvl1, Dvl2, Dvl3, Dxo, Dyrk1a, Dyrk1b, E2f3, E2f4, E2f5, E2f6, E2f7, Eaf1, Ebf4, Ecm1, Eda2r, Ednrb, Eed, Efna1, Egf, Egfr, Egr1, Egr2, Ehmt1, Ehmt2, Eif2a, Eif4a2, Eif4a3, Elavl1, Elf1, Elf2, Elk4, Ell2, Elof1, Elp4, Eng, Ep300, Epas1, Epc1, Epc2, Erbb2, Erbb4, Ercc3, Ercc6, Ereg, Erg, Erlin2, Ern1, Esrrb, Esrrg, Ets2, Etv1, Etv3, Etv5, Exosc9, Ezh2, F2r, F2rl1, Fam129b, Fam172a, Fam83g, Fancd2, Fasl, Fbxw11, Fcgr2b, Fer, Fgf1, Fgfr1, Fgfr2, Fkbp8, Flcn, Fli1, Fnip1, Fos, Fosb, Fosl2, Foxa1, Foxa3, Foxj1, Foxj2, Foxj3, Foxk1, Foxk2, Foxn3, Foxo4, Foxp1, Foxp2, Foxp4, Foxq1, Foxs1, Fto, Fubp1, Fubp3, Fxr2, Fzd6, Gabpb1, Gabpb2, Gata2, Gata6, Gatad1, Gatad2a, Gatad2b, Gbp4, Gclc, Gcn1l1, Gdf15, Gdf6, Gigyf2, Gli3, Glis2, Glis3, Glo1, Gm20517, Gmcl1, Gmeb1, Gmeb2, Gnas, Gnl3, Gon4l, Gpatch3, Gpbp1, Grhl1, Gsk3a, Gtf2b, Gtf2f2, Gtf2h1, Gtf2h2, Gtf2h3, Gzf1, Has3, Hbp1, Hcfc1, Hcfc2, Hcls1, Hdac2, Hdac3, Hdac4, Hdac5, Helz2, Hexb, Hexim1, Hhex, Hif1an, Hinfp, Hint1, Hipk1, Hipk2, Hipk3, Hira, Hist2h3c1, Hivep1, Hivep2, Hltf, Hmbox1, Hmg20a, Hmga1, Hmgb3, Hmox1, Hnf4a, Hnrnpa0, Hnrnpa2b1, Hnrnpf, Hnrnph1, Hnrnpk, Hnrnpll, Hnrnpm, Hnrnpu, Homez, Hoxa1, Hoxa3, Hoxa5, Hoxb4, Hoxb5, Hp1bp3, Hrg, Hsf1, Hsf2, Hspa8, Hsph1, Htatip2, Hyal2, Icam1, Id1, Id2, Id3, Ier2, Ier5, Ifi204, Ifnar1, Ifnar2, Ift172, Ift74, Igbp1, Igf1r, Ighmbp2, Igsf1, Ihh, Ikbkg, Il18r1, Il18rap, Il1a, Il1b, Ilf2, Impact, Ing1, Ing2, Ing5, Ino80, Inpp5k, Insig2, Insr, Ippk, Irak1, Irak2, Irak3, Irf1, Irf2, Irf2bp2, Irf2bpl, Irf3, Irf6, Irx3, Itch, Itga3, Itga8, Itgb2, Iws1, Jak2, Jarid2, Jdp2, Jmjd6, Jmy, Jpx, Jun, Junb, Jund, Kars, Kat2b, Kat6a, Kat6b, Kat7, Kat8, Kdm1a, Kdm3a, Kdm4c, Kdm5a, Kdm5b, Kdm5c, Kdm6b, Kdm8, Kdr, Khdrbs1, Khdrbs3, Klf10, Klf11, Klf12, Klf15, Klf2, Klf3, Klf6, Klf9, Kmt2a, Kmt2b, Kmt2c, Kmt2d, Kmt2e, Kpna6, Kras, Kti12, Larp1, Lcor, Lcorl, Lemd3, Leo1, Lgr4, Limd1, Lime1, Lin54, Lmo2, Lmo4, Lpin3, Lrp5, Lrp6, Lrrfip1, Lrrfip2, Lum, Mad2l2, Maf, Maff, Mafk, Magoh, Malat1, Malt1, Maml1, Mamld1, Mamstr, Map2k5, Map2k7, Map3k13, Map3k2, Map3k5, Mapk1, Mapk15, Mapk3, Mapk8, Mapk9, Mapkapk2, Mapre3, Maz, Mbd1, Mbd2, Mbnl1, Mbnl2, Mbnl3, Mbtd1, Mbtps2, Mcf2l, Mdfi, Mdfic, Mdm2, Mdm4, Med1, Med12, Med12l, Med13, Med13l, Med14, Med15, Med17, Med21, Med23, Med24, Med25, Med26, Med30, Med6, Med7, Med8, Mef2a, Mef2d, Megf8, Mepce, Met, Mex3d, Mga, Mical2, Mid2, Mier1, Mier2, Mier3, Mllt11, Mllt6, Mlxip, Mlxipl, Mms19, Mn1, Mnat1, Morf4l1, Mospd1, Mov10, Msantd1, Mta1, Mta2, Mtdh, Mtf2, Mtor, Mtpn, Mxi1, Mybbp1a, Myc, Myd88, Myef2, Myo6, Myrf, Mysm1, Mzf1, N4bp2l2, Naa15, Naa40, Nab1, Nab2, Nacc1, Nbas, Ncbp2, Nck2, Ncoa2, Ncoa3, Ncoa6, Ncoa7, Ncor1, Nelfa, Neo1, Nfat5, Nfatc1, Nfatc2, Nfatc2ip, Nfatc3, Nfe2l1, Nfe2l2, Nfia, Nfib, Nfil3, Nfix, Nfkb1, Nfkb2, Nfkbia, Nfkbib, Nfkbie, Nfx1, Nipbl, Nkrf, Nkx2-6, Nlrc4, Nlrc5, Nlrp12, Nlrp3, Nme2, Nod1, Nod2, Nol11, Nos1, Nostrin, Notch1, Notch4, Npas2, Npat, Npm1, Npnt, Nr0b2, Nr1h2, Nr1h5, Nr1i3, Nr2c1, Nr2c2, Nr2f2, Nr4a1, Nr5a2, Nr6a1, Nrarp, Nrip1, Nrip2, Nsd1, Ntrk1, Nucks1, Nudt21, Nufip1, Numa1, Nup62, Nup98, Nupr1l, Ogg1, Ogt, Onecut2, Otud7b, Ovol1, P2ry1, Pa2g4, Pabpc1, Pabpc4, Paf1, Pam, Papola, Park7, Parn, Patz1, Pawr, Pax9, Paxbp1, Paxip1, Pbrm1, Pbx1, Pbxip1, Pcbd2, Pcbp3, Pcbp4, Pcgf6, Pck1, Pdcd4, Pdcd7, Pde12, Pde2a, Peg3, Peli1, Pfdn5, Pfkm, Pfn1, Phb, Phf1, Phf10, Phf12, Phf14, Phf19, Phf2, Phf20, Phf20l1, Phf21a, Phf5a, Phf8, Phip, Pias1, Pias2, Picalm, Pid1, Pih1d1, Pink1, Pitx3, Pkd1, Pkd2, Pkhd1, Pkn1, Pknox1, Pknox2, Plac8, Plagl1, Plagl2, Plcb1, Plscr1, Pogk, Polr2a, Pou2f2, Pou6f1, Ppid, Ppie, Ppil4, Ppm1a, Ppm1d, Ppp1r15a, Ppp2ca, Ppp2r5d, Ppp3ca, Ppp3r1, Pprc1, Prdm15, Prdm16, Prdm2, Prdm4, Prdx3, Prdx5, Prdx6, Prkaa1, Prkch, Prmt1, Prmt2, Prmt3, Prmt6, Prpf19, Prpf6, Prr5l, Psen2, Psip1, Psma6, Psmc6, Ptbp1, Ptbp2, Ptbp3, Ptpn2, Ptprk, Ptprn, Pum1, Pum2, Pura, Purb, Pus1, Pwp1, Qars, Qk, Qrich1, Rad21, Raf1, Ralgapa1, Rapgef3, Rarg, Rasd1, Rasl11a, Rb1, Rbak, Rbbp7, Rbfox2, Rbl2, Rbm10, Rbm14, Rbm15, Rbm15b, Rbm17, Rbm20, Rbm22, Rbm3, Rbm38, Rbm4, Rbm42, Rbm4b, Rbm5, Rbm7, Rbmx, Rbmxl1, Rc3h1, Rc3h2, Rcor1, Recql5, Rel, Rela, Relb, Reln, Rere, Rest, Rexo4, Rfx1, Rfx4, Rfx5, Rfx7, Rfxank, Rgmb, Rhebl1, Rhoa, Rhog, Rhoq, Rif1, Riok1, Ripk2, Ripk3, Ripk4, Ripply1, Rlim, Rnf10, Rnf111, Rnf14, Rnf141, Rnf2, Rnf20, Rnf25, Rnf31, Rnf4, Rnf41, Rnps1, Rock1, Rock2, Rpap2, Rpl10, Rpl11, Rpl23, Rprd1a, Rprd1b, Rps14, Rps26, Rps3, Rps6ka5, Rptor, Rrn3, Rrp8, Rsf1, Rsl1, Rtf1, Runx1t1, Rxrb, Rybp, S100a1, Safb, Safb2, Sall1, Samd4, Samd4b, Sap130, Sap25, Sap30, Sap30l, Sarnp, Sart3, Satb1, Satb2, Sav1, Sbno1, Sbno2, Scmh1, Senp1, Senp2, Serpinf2, Sertad1, Sertad3, Sesn2, Setd1a, Setd2, Setd3, Setd6, Setd7, Setdb1, Setx, Sf3b4, Sfpq, Sfswap, Shc1, Shq1, Sik1, Sin3a, Sin3b, Sirt1, Sirt7, Siva1, Skap1, Skil, Sla2, Slc30a9, Slc33a1, Slc39a5, Slc9a1, Slfn1, Sltm, Smad1, Smad4, Smad5, Smad6, Smad9, Smarca5, Smarcb1, Smarcc1, Smarcc2, Smarcd1, Smarcd3, Smg6, Smn1, Smo, Smurf2, Smyd3, Snf8, Snip1, Sod2, Son, Sorbs3, Sox12, Sox13, Sox17, Sox18, Sox5, Sox9, Sp3, Spg20, Spic, Spop, Spty2d1, Sqstm1, Sra1, Src, Srek1, Srf, Srpk1, Srpk2, Srrm4, Srsf1, Srsf10, Srsf2, Srsf5, Srsf6, Srsf7, Srsf9, Ss18l1, Ssbp4, Ssu72, Stat3, Stat5a, Stat5b, Stat6, Stk16, Stk3, Strap, Strn3, Suds3, Supt16, Supt4a, Supt5, Supt6, Tada1, Tada2a, Tada2b, Taf1, Taf11, Taf12, Taf13, Taf1d, Taf3, Taf4b, Taf6, Taf9, Tal1, Tardbp, Tasp1, Tax1bp1, Tbk1, Tbl1x, Tbl1xr1, Tbp, Tbpl1, Tbrg4, Tbx20, Tbx3, Tbx6, Tcea1, Tcea2, Tcerg1, Tcf20, Tcf21, Tcf25, Tcf3, Tcf7, Tcf7l2, Tead1, Tead3, Terf2ip, Tet2, Tet3, Tfam, Tfb2m, Tfcp2, Tfdp2, Tfe3, Tfec, Tgfbr1, Tgfbrap1, Tgif1, Thap1, Thap11, Thap7, Thoc1, Thra, Thrap3, Thrb, Tirap, Tle1, Tle3, Tle4, Tlr2, Tlr6, Tmbim6, Tmem173, Tmprss6, Tnfaip3, Tnfrsf11a, Tnfrsf1a, Tnfrsf1b, Tnip1, Tnip2, Tnks, Tnrc6a, Tnrc6b, Tnrc6c, Topors, Tpr, Tra2a, Tra2b, Traf2, Traf3, Traf3ip1, Traf5, Traf6, Traf7, Trib1, Trib3, Trim27, Trim28, Trim33, Trim8, Trmt112, Trp53, Trp53bp1, Trp53inp1, Trps1, Trpv1, Trrap, Tsc2, Tsc22d4, Tsg101, Tshz1, Twist1, Txk, Txn1, Txnip, U2af2, Ube2i, Ube2o, Ube2v1, Ube3a, Ubp1, Ubtf, Ufl1, Usf2, Usp15, Usp16, Usp21, Usp22, Usp3, Usp47, Usp7, Usp9x, Utp15, Uty, Vezf1, Vldlr, Vps72, Wac, Wdr43, Wdr5, Wdr75, Wdr77, Wdtc1, Wiz, Wwp1, Wwtr1, Xbp1, Xrcc5, Xrcc6, Yaf2, Yap1, Ybx1, Ybx3, Yeats2, Yes1, Ylpm1, Ythdc1, Ythdf2, Ythdf3, Ywhab, Ywhaq, Yy1, Zbed6, Zbtb1, Zbtb10, Zbtb16, Zbtb17, Zbtb2, Zbtb21, Zbtb24, Zbtb38, Zbtb49, Zbtb5, Zbtb7a, Zbtb7b, Zc3h12a, Zc3h12d, Zc3h14, Zcchc18, Zfat, Zfhx2, Zfhx3, Zfhx4, Zfp110, Zfp112, Zfp12, Zfp120, Zfp131, Zfp148, Zfp217, Zfp236, Zfp27, Zfp28, Zfp280b, Zfp280d, Zfp281, Zfp287, Zfp292, Zfp296, Zfp318, Zfp322a, Zfp326, Zfp358, Zfp36, Zfp366, Zfp367, Zfp369, Zfp36l1, Zfp36l2, Zfp37, Zfp384, Zfp397, Zfp422, Zfp423, Zfp426, Zfp438, Zfp445, Zfp451, Zfp46, Zfp507, Zfp513, Zfp516, Zfp54, Zfp551, Zfp568, Zfp58, Zfp593, Zfp609, Zfp628, Zfp639, Zfp641, Zfp644, Zfp653, Zfp667, Zfp668, Zfp69, Zfp704, Zfp706, Zfp715, Zfp74, Zfp748, Zfp809, Zfp869, Zfp879, Zfp90, Zfp930, Zfp932, Zfx, Zhx1, Zhx3, Zkscan1, Zkscan17, Zkscan3, Zkscan5, Zmiz2, Zmpste24, Zmym2, Zmym4, Zmym5, Zmynd11, Zmynd15, Znhit1, Zscan12, Zscan2, Zscan20, Zscan21, Zscan26, Zxdc
GO:0051254	BP	e	positive regulation of RNA metabolic process	707/7672	1226/15423	7.281103616617058e-09	7	707	4.610826943227066e-05	Aamdc, Ablim2, Ablim3, Actr3, Acvr1, Acvr2a, Acvrl1, Adrb2, Afap1l2, Aff1, Ago2, Agt, Ahi1, Akap8l, Akirin2, Akna, Akt2, Apobec1, App, Ar, Arhgef10l, Arhgef11, Arhgef2, Arid1a, Arid4a, Arid4b, Armcx3, Arntl, Arntl2, Arrb1, Ash1l, Ash2l, Asxl1, Asxl2, Atad2b, Atf2, Atf3, Atf4, Atm, Atoh8, Atrx, Atxn1, Atxn7, Atxn7l3, Axin1, Bach1, Bag1, Bambi, Batf, Bcl10, Bcl3, Bcl9l, Bclaf1, Bhlha15, Bloc1s2, Bmp10, Bmp6, Bmpr1a, Bmpr2, Bptf, Brca2, Brd4, Brd7, Brdt, Brf1, Brpf1, Btg2, Calcoco1, Camk4, Camta1, Camta2, Cand1, Cbfb, Cbx7, Ccnh, Ccnk, Ccnt1, Cd38, Cd74, Cd81, Cdc5l, Cdc73, Cdh1, Cdk12, Cdk13, Cdk5rap2, Cdk7, Cdk9, Cebpb, Cebpd, Cebpg, Cebpz, Chchd10, Chchd2, Chd6, Chd7, Chek1, Chp2, Chuk, Ckap2, Clock, Cnbp, Cnot1, Cnot6, Cnot6l, Cnot7, Cops5, Cpeb3, Creb1, Creb3l3, Creb5, Crebbp, Crebl2, Crem, Crlf3, Crtc1, Crtc2, Crtc3, Csrnp1, Csrnp2, Csrp3, Ctcfl, Ctnnb1, Ctr9, Cys1, Dcaf6, Dcp1a, Ddit3, Ddrgk1, Ddx39b, Ddx3x, Ddx5, Dhx33, Dhx36, Dhx9, Dicer1, Dimt1, Dll1, Dmtf1, Dot1l, Dr1, Dvl1, Dvl2, Dvl3, Dxo, Dyrk1a, Dyrk1b, E2f3, E2f4, E2f5, E2f6, E2f7, Eaf1, Ebf4, Egf, Egfr, Egr1, Egr2, Eif2a, Eif4a3, Elf1, Elf2, Elk4, Ell2, Elof1, Eng, Ep300, Epas1, Epc1, Erbb2, Erbb4, Ercc3, Ercc6, Erg, Erlin2, Ern1, Esrrb, Esrrg, Ets2, Etv1, Etv5, Exosc9, F2r, F2rl1, Fam129b, Fbxw11, Fgf1, Fgfr1, Fgfr2, Flcn, Fli1, Fos, Fosb, Fosl2, Foxa1, Foxa3, Foxj1, Foxj2, Foxj3, Foxk1, Foxk2, Foxo4, Foxp1, Fto, Fubp3, Gabpb1, Gabpb2, Gata2, Gata6, Gcn1l1, Gdf6, Gigyf2, Gli3, Glis2, Glis3, Gmeb1, Gnl3, Gpatch3, Gpbp1, Grhl1, Gsk3a, Gtf2b, Gtf2f2, Gtf2h1, Gzf1, Has3, Hcfc1, Hcls1, Hdac2, Hdac3, Hdac4, Hdac5, Helz2, Hexb, Hhex, Hinfp, Hipk2, Hivep2, Hltf, Hmbox1, Hmga1, Hmgb3, Hnf4a, Hnrnpk, Hnrnpll, Hnrnpu, Hoxa1, Hoxa3, Hoxa5, Hoxb4, Hoxb5, Hsf1, Hsf2, Hspa8, Hsph1, Htatip2, Hyal2, Id2, Ier2, Ier5, Ifnar1, Ift74, Igbp1, Igf1r, Ihh, Ikbkg, Il1a, Il1b, Ilf2, Ing1, Ing2, Ing5, Ino80, Inpp5k, Insig2, Insr, Ippk, Irf1, Irf2, Irf2bpl, Irf3, Irf6, Itga8, Jak2, Jmjd6, Jpx, Jun, Junb, Jund, Kars, Kat2b, Kat6a, Kat6b, Kat7, Kat8, Kdm1a, Kdm3a, Kdm5a, Kdm6b, Kdm8, Khdrbs3, Klf10, Klf12, Klf15, Klf2, Klf6, Klf9, Kmt2a, Kmt2c, Kmt2d, Kmt2e, Kpna6, Leo1, Lgr4, Lmo2, Lmo4, Lpin3, Lrp5, Lrp6, Lum, Mad2l2, Maf, Maff, Maml1, Mamstr, Map2k5, Map2k7, Map3k2, Map3k5, Mapk1, Mapk3, Mapk9, Mapre3, Maz, Mbtps2, Mcf2l, Mdfic, Med1, Med12, Med13, Med14, Med17, Med21, Med24, Med25, Med30, Med6, Mef2a, Mef2d, Met, Mex3d, Mga, Mical2, Mllt11, Mllt6, Mlxip, Mlxipl, Mms19, Mnat1, Mospd1, Mov10, Msantd1, Mta2, Mtf2, Mtor, Myc, Myo6, Myrf, Mysm1, Mzf1, Naa15, Ncbp2, Nck2, Ncoa2, Ncoa3, Ncoa6, Ncoa7, Nelfa, Nfat5, Nfatc1, Nfatc2, Nfatc2ip, Nfatc3, Nfe2l1, Nfe2l2, Nfia, Nfib, Nfil3, Nfix, Nfkb1, Nfkb2, Nfkbia, Nipbl, Nkrf, Nkx2-6, Nlrc5, Nlrp3, Nme2, Nod2, Nol11, Nos1, Notch1, Npas2, Npat, Npm1, Npnt, Nr1h2, Nr1h5, Nr1i3, Nr2c2, Nr2f2, Nr4a1, Nr5a2, Nr6a1, Nrip1, Nsd1, Nucks1, Nudt21, Nufip1, Nup62, Nup98, Ogt, Onecut2, P2ry1, Pabpc1, Paf1, Park7, Patz1, Pax9, Paxbp1, Paxip1, Pbrm1, Pbx1, Pcbd2, Pck1, Peg3, Pfkm, Pfn1, Phb, Phf1, Phf10, Phf19, Phf2, Phf5a, Phf8, Phip, Pias1, Pias2, Picalm, Pid1, Pih1d1, Pitx3, Pkd1, Pkd2, Pknox1, Plac8, Plagl1, Plagl2, Plcb1, Plscr1, Polr2a, Pou2f2, Ppm1a, Ppp1r15a, Ppp2r5d, Ppp3ca, Ppp3r1, Pprc1, Prdm15, Prdm16, Prdm2, Prdm4, Prdx6, Prkaa1, Prmt2, Prpf19, Prpf6, Prr5l, Psip1, Psmc6, Ptbp1, Ptprn, Pum1, Pus1, Pwp1, Qk, Raf1, Rapgef3, Rarg, Rasl11a, Rb1, Rbm14, Rbm15, Rbm20, Rbm22, Rbm3, Rbmx, Rbmxl1, Rc3h1, Rel, Rela, Relb, Rest, Rexo4, Rfx4, Rfxank, Rgmb, Rhog, Rhoq, Riok1, Rnf10, Rnf111, Rnf14, Rnf20, Rnf4, Rock1, Rock2, Rprd1b, Rps6ka5, Rptor, Rrn3, Rsf1, Rtf1, Rxrb, Rybp, Safb, Sall1, Satb2, Sbno2, Senp1, Senp2, Serpinf2, Sertad1, Sertad3, Sesn2, Setd1a, Setd3, Setd7, Setx, Sf3b4, Sfpq, Shc1, Sin3a, Sirt1, Sirt7, Skap1, Slc30a9, Slc39a5, Slc9a1, Smad1, Smad4, Smad5, Smad6, Smad9, Smarca5, Smarcb1, Smarcc1, Smarcc2, Smarcd1, Smarcd3, Smn1, Smo, Smyd3, Sox12, Sox13, Sox17, Sox18, Sox5, Sox9, Sp3, Spic, Sra1, Src, Srf, Srsf1, Srsf5, Ss18l1, Ssbp4, Stat3, Stat5a, Stat5b, Stat6, Stk16, Strn3, Supt16, Supt4a, Supt5, Supt6, Taf1, Taf4b, Taf6, Taf9, Tal1, Tasp1, Tbk1, Tbl1x, Tbl1xr1, Tbp, Tbpl1, Tbx20, Tbx3, Tbx6, Tcea1, Tcea2, Tcf20, Tcf21, Tcf3, Tcf7l2, Tead1, Tead3, Tet2, Tet3, Tfam, Tfb2m, Tfcp2, Tfdp2, Tfe3, Tfec, Tgfbr1, Thoc1, Thra, Thrap3, Thrb, Tlr2, Tmem173, Tmprss6, Tnfrsf1a, Tnfrsf1b, Tnip1, Tnip2, Tnks, Tnrc6a, Tnrc6b, Tnrc6c, Topors, Tra2a, Tra2b, Traf6, Trim28, Trmt112, Trp53, Trp53bp1, Trp53inp1, Tsc2, Twist1, Txk, U2af2, Ube3a, Ubtf, Usf2, Usp16, Usp21, Usp22, Utp15, Vezf1, Wac, Wdr43, Wdr5, Wdr75, Wwtr1, Xbp1, Xrcc6, Yaf2, Yap1, Ybx1, Yes1, Ythdf2, Ythdf3, Yy1, Zbtb16, Zbtb17, Zbtb38, Zbtb49, Zbtb7b, Zc3h12a, Zc3h12d, Zfhx2, Zfhx3, Zfhx4, Zfp131, Zfp148, Zfp281, Zfp287, Zfp292, Zfp296, Zfp318, Zfp326, Zfp358, Zfp36, Zfp36l1, Zfp36l2, Zfp384, Zfp423, Zfp516, Zfp593, Zfp609, Zfp628, Zfp639, Zfp715, Zfp90, Zfp930, Zkscan17, Zkscan3, Zmiz2, Zscan2, Zscan21, Zxdc
