# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030198	BP	e	extracellular matrix organization	110/7766	168/15423	9.388314935746075e-05	4	110	0.021609516648135527	Abi3bp, Adamts14, Adamts2, Adamts9, Adamtsl2, Anxa2, Apbb1, Apbb2, Aplp1, B4galt1, Ccdc80, Col12a1, Col13a1, Col14a1, Col15a1, Col16a1, Col1a1, Col1a2, Col23a1, Col25a1, Col27a1, Col3a1, Col4a1, Col4a4, Col5a1, Col5a2, Col8a2, Crispld2, Ctss, Cyp1b1, Dag1, Ddr2, Dnajb6, Dpt, Ecm2, Efemp2, Elf3, Eln, Emilin1, Ercc2, Exoc8, Fbln1, Fbln2, Fbln5, Flot1, Flrt2, Fn1, Foxf1, Gas2, Gpm6b, Hpn, Hsd17b12, Kazald1, Lamb2, Lamc1, Lamc2, Lgals3, Lox, Loxl2, Loxl3, Mfap4, Mkx, Mmp11, Mmp12, Mmp13, Mmp14, Mmp15, Mmp17, Mmp19, Mmp2, Mmp23, Mmp27, Mmp28, Mmp3, Mpv17, Mpzl3, Myh11, Noxo1, Nphp3, Olfml2a, Olfml2b, Pdgfra, Plod2, Pmp22, Pomt1, Prdx4, Ptk2, Ramp2, Reck, Scara3, Serac1, Serpinh1, Smarca4, Smoc1, Smoc2, Smpd3, Spint1, Spock2, Sulf1, Tfip11, Tgfb1, Tgfb2, Tgfbi, Thsd4, Tnf, Tnxb, Vhl, Vtn, Vwa1, Wt1
GO:0051252	BP	p	regulation of RNA metabolic process	1019/7766	2286/15423	2.134393969481915e-09	6	1019	3.095084695145725e-05	2700046G09Rik, A430033K04Rik, AW146154, Aatf, Abcg1, Abhd14b, Abl1, Ablim1, Abt1, Acin1, Actr2, Acvr1b, Adarb1, Adcy1, Adipoq, Adora2a, Aebp1, Aes, Agap2, Ago1, Agrn, Ahnak, Ahnak2, Ahr, Ahrr, Ajuba, Akt1, Angel2, Ankrd1, Ankrd2, Ankrd49, Anxa3, Apbb1, Apbb2, Apex1, Apoe, Arf4, Arid2, Arid3a, Arid3b, Arid5a, Arid5b, Arnt, Asah1, Ascc2, Asph, Atad2, Atf1, Atf5, Atf6, Atf6b, Atf7ip, Atmin, Atp2b4, Aurkb, Auts2, Axin2, BC005624, Banp, Basp1, Batf2, Batf3, Bbs7, Bcas3, Bcdin3d, Bcl11b, Bcl2l12, Bcl6, Bcl9, Bdnf, Bhlhe41, Birc5, Blm, Bmi1, Bmp2, Bmp4, Bmp5, Bmp7, Bmyc, Brca1, Brd3, Brd8, Brf2, Brms1, Btrc, C1d, Cacng7, Camk1, Capn3, Caprin2, Carf, Carhsp1, Carm1, Cask, Casz1, Cbfa2t2, Cbfa2t3, Cbx1, Cbx2, Cbx4, Cbx5, Cbx6, Cbx8, Cby1, Cc2d1a, Cc2d1b, Ccar2, Ccdc22, Ccdc62, Ccdc85b, Ccna2, Ccnb1, Ccnc, Ccnd1, Ccnd3, Ccne1, Ccnt2, Ccpg1, Cd200, Cd28, Cd4, Cd40, Cd84, Cdca7, Cdca7l, Cdh13, Cdk2, Cdk5, Cdk5rap3, Cdkn1b, Cdkn1c, Cdon, Cebpa, Cebpe, Cela1, Celf2, Celf4, Celsr2, Cenpf, Cenpk, Cep290, Cggbp1, Chd8, Chek2, Chmp1a, Chrd, Chrdl1, Churc1, Cib1, Cic, Ciita, Cirbp, Cited2, Cks1b, Clk2, Clu, Cmklr1, Cnot2, Cnot8, Col1a1, Commd1, Coq7, Cpeb1, Creb3, Creb3l1, Creb3l2, Crebrf, Crebzf, Cry2, Cryab, Ctbp2, Ctcf, Ctdsp1, Cux2, Cx3cl1, Cx3cr1, Cxcr3, Cxxc1, Cyp1b1, Dab2, Dab2ip, Dach1, Dact1, Dand5, Dap, Daxx, Dazap1, Dbp, Dcn, Dcp2, Ddr2, Ddx11, Ddx17, Ddx41, Ddx58, Deaf1, Depdc1a, Dhx34, Dkc1, Dkk3, Dll4, Dmap1, Dmd, Dmrta1, Dnajb5, Dnajb6, Dnajc17, Dnajc2, Dnmt1, Dnmt3a, Dpf2, Dpf3, Drap1, Drosha, Dtx3l, Dusp22, E130311K13Rik, E2f1, E2f2, E2f8, E4f1, Eaf2, Eapp, Ebf1, Ecd, Ecsit, Edn1, Efcab7, Efemp1, Egln1, Ehf, Eid1, Eid2, Eid2b, Eif2ak2, Eif2ak3, Eif2ak4, Elf3, Elf4, Elk1, Elk3, Ell, Ell3, Elp3, Eny2, Epcam, Ercc2, Erf, Erlin1, Esr1, Esrp2, Esrra, Ets1, Etv6, Ewsr1, Ezh1, Ezr, Fabp4, Fadd, Faf1, Fam220a, Fanca, Fastk, Fastkd1, Fastkd3, Fbn1, Fbp1, Fbxl15, Fcor, Fgfr3, Fhl2, Flna, Flot1, Flot2, Flt3l, Fmr1, Fnip2, Foxa2, Foxf1, Foxm1, Foxo1, Foxo3, Frk, Fst, Fstl3, Fxr1, Fzd1, Fzd4, Fzd5, Fzd7, Fzd8, Gabpa, Gas6, Gata4, Gcfc2, Gdf2, Gdf9, Gm14434, Gm3086, Gm4924, Gmnn, Gpbp1l1, Gpc3, Gps2, Grem2, Grhl3, Gsk3b, Gtf2a2, Gtf2f1, Gtf2h4, Gtf2h5, Gtpbp1, H1f0, H1fx, H2afy, H2afy2, H2afz, Habp4, Hamp, Hand2, Hat1, Havcr2, Hax1, Hck, Hdac1, Hdac10, Hdac4, Hdac7, Hdac8, Hdac9, Hdgf, Heatr1, Hells, Hes1, Hes6, Hexim2, Hey1, Hey2, Heyl, Hfe, Hic1, Hif1a, Hif3a, Hist1h1c, Hist1h1d, Hist1h1e, Hivep3, Hlf, Hlx, Hmg20b, Hmgb1, Hmgb2, Hmgn1, Hmgn2, Hmgn3, Hmgn5, Hnf1a, Hnf1b, Hnrnpab, Hnrnpc, Hnrnpd, Hnrnpl, Hnrnpr, Hopx, Hoxa2, Hoxa4, Hoxb2, Hpn, Hr, Hras, Hsf4, Hsf5, Htra1, Htra3, Id4, Ifi27, Ifrd1, Igf1, Igf2, Ikbkb, Ikzf1, Ikzf2, Ikzf3, Ikzf4, Ikzf5, Il18, Il1rap, Il23a, Il33, Ilf3, Ilk, Ing4, Inhba, Insig1, Iqce, Irak4, Irf2bp1, Irf4, Irf5, Irf7, Irf8, Irf9, Irx1, Itga6, Itgb1bp1, Itgb3bp, Jag1, Jak3, Jazf1, Jup, Kank2, Kat2a, Kat5, Kcnip3, Kcp, Kctd1, Kdm2b, Kdm4a, Keap1, Khsrp, Kit, Klf1, Klf13, Klf16, Klf4, Klf7, L3mbtl2, L3mbtl3, Lancl2, Larp7, Lbh, Ldb1, Ldb2, Lef1, Lefty1, Lemd2, Lhx2, Lhx6, Lims1, Litaf, Lmcd1, Lmo7, Loxl2, Loxl3, Lpar5, Lpin1, Lpin2, Lrch4, Lrif1, Lrp2, Lrp4, Lrpprc, Lrrc14, Lyar, Lyl1, Maf1, Mafb, Mafg, Maged1, Maml2, Maml3, Map2k1, Map2k2, Map2k3, Map3k10, Map3k12, Mapk14, Mapk7, Mapk8ip1, Mars, Mavs, Max, Mbd3, Mcph1, Mcrs1, Mdk, Mecom, Mecp2, Med10, Med11, Med16, Med18, Med19, Med20, Med22, Med27, Med31, Med4, Med9, Mef2c, Meis1, Meis2, Meis3, Men1, Mettl14, Mettl16, Mettl23, Mettl3, Mitf, Mkx, Mlf2, Mllt10, Mllt3, Mlx, Mmp12, Mnt, Morc2a, Morf4l2, Mphosph8, Mrgbp, Mrpl12, Msl3, Msl3l2, Mta3, Mtf1, Mup1, Mxd1, Mxd3, Mxd4, Mybl1, Mybl2, Mycbp, Mycl, Mycn, Mypop, Naca, Nacc2, Naf1, Nampt, Nbl1, Ncbp1, Ncf1, Nck1, Ncl, Ncoa1, Ncor2, Ndn, Ndufa13, Nedd4, Nedd8, Nek4, Nelfb, Nelfcd, Nelfe, Nfam1, Nfatc4, Nfe2, Nfe2l3, Nfic, Nfkbid, Nfkbil1, Nfya, Nfyb, Nfyc, Ngf, Ngfr, Nif3l1, Nkap, Nlk, Nlrc3, Nmd3, Noc2l, Nodal, Nono, Notch2, Notch3, Nova2, Nr1d1, Nr1d2, Nr1h3, Nr1h4, Nr1i2, Nr2f1, Nr2f6, Nr3c1, Nr3c2, Nr4a2, Nr4a3, Nrbf2, Nrde2, Nrf1, Ntf3, Ntn3, Nup85, Nupr1, Oas1a, Oas1b, Oas1c, Oas1g, Oas2, Oas3, Oasl1, Oasl2, Olig1, Onecut1, Padi2, Pagr1a, Parp1, Parp10, Parp9, Pax8, Pbx2, Pbx3, Pbx4, Pcbd1, Pcbp1, Pcgf1, Pcgf2, Pcgf5, Pcid2, Pcna, Pdgfb, Pdlim1, Pelo, Pelp1, Per1, Per2, Per3, Pex14, Pex2, Pf4, Phb2, Phf6, Pias3, Pias4, Pik3r1, Pik3r2, Pim1, Pim2, Pin1, Pkia, Pkig, Pkp3, Plag1, Plekhn1, Plk1, Plk3, Pml, Pnpt1, Polr2g, Pou2af1, Pou2f1, Ppara, Ppard, Pparg, Ppargc1a, Ppargc1b, Pphln1, Ppm1f, Ppp1r12a, Ppp1r13l, Ppp2r5b, Ppp3cb, Pqbp1, Prdm1, Prdm11, Prdm9, Prdx2, Preb, Prickle1, Prkcb, Prkci, Prkcq, Prkcz, Prkd2, Prkdc, Prmt5, Prmt7, Prnp, Prox1, Prox2, Prrx1, Prx, Psen1, Psmc2, Psmc3, Psmc3ip, Psmc4, Psmc5, Psmd10, Psmd9, Pspc1, Psrc1, Ptafr, Ptcd2, Ptch1, Pten, Ptges2, Ptgis, Ptov1, Ptp4a3, Pycard, Pygo1, Rad54l2, Rai1, Raly, Rara, Rarb, Rbck1, Rbfox3, Rbl1, Rbm19, Rbm25, Rbm46, Rbm8a, Rbpj, Rfc1, Rfx2, Rfx3, Rfxap, Rgma, Rgn, Rgs14, Ring1, Riok2, Ripk1, Ripply3, Rnasel, Rnf165, Rnf168, Rnf187, Rnf219, Rnf40, Rnf6, Rnf8, Ror1, Rora, Rorc, Rps13, Rps6ka1, Rps6ka3, Rps6ka4, Rreb1, Rrp1b, Runx1, Runx2, Runx3, Ruvbl1, Ruvbl2, Rwdd1, Rwdd3, Rxra, Rxrg, S1pr1, Sall2, Sap18, Sap30bp, Sars, Scap, Secisbp2, Sema4d, Sertad2, Set, Sfmbt1, Sfr1, Sfrp1, Sgsm1, Sigirr, Sirt2, Sirt3, Sirt6, Six5, Ski, Slc11a1, Slc38a3, Slc40a1, Slirp, Smad2, Smad3, Smad7, Smarca1, Smarca2, Smarca4, Smarcal1, Smarce1, Smpd3, Smurf1, Smyd1, Smyd2, Snai1, Snai2, Snrnp70, Snw1, Snx6, Sox4, Sox6, Sox7, Sp1, Sp140, Sp2, Sp4, Sp5, Spag8, Spen, Sphk1, Spi1, Spib, Spin1, Spp1, Srebf1, Srebf2, Sri, Srpk3, Srrt, Srsf3, Srsf4, Ss18, Ssbp2, Ssbp3, Stat1, Stat2, Stat4, Stk36, Stox2, Sub1, Sufu, Sulf1, Sumo1, Sumo2, Supt20, Supt3, Supv3l1, Suv39h1, Suv39h2, Suz12, Syk, Syncrip, Tacc3, Tada3, Taf10, Taf2, Taf7, Taf8, Taf9b, Tarbp2, Tbx2, Tbx21, Tcea3, Tcf12, Tcf4, Tcf7l1, Tdg, Tead2, Tead4, Tef, Tert, Tet1, Tfap4, Tfcp2l1, Tfdp1, Tfeb, Tfr2, Tgfb1, Tgfb1i1, Tgfb2, Tgfb3, Tgfbr3, Tgif2, Thoc5, Tia1, Ticam1, Timeless, Tle2, Tle6, Tlr3, Tlr4, Tlr9, Tmem100, Tmpo, Tmsb4x, Tnf, Tnfrsf4, Tob1, Top2a, Tox2, Tradd, Traf1, Traip, Trak2, Trappc2, Trappc9, Trerf1, Trf, Triap1, Trib2, Trim11, Trim13, Trim14, Trim16, Trim21, Trim24, Trim25, Trim26, Trim32, Trim37, Trim44, Trim6, Trim62, Trip4, Trp53inp2, Trpv4, Tsc22d1, Tsc22d3, Tshz2, Tshz3, Ttc21b, Ttc5, Twsg1, Uba3, Ube2l3, Ube2n, Ubr2, Uhrf1, Uimc1, Upf1, Uri1, Usf1, Usp2, Usp36, Uxt, Vegfa, Vgll3, Vgll4, Vhl, Vim, Vwc2, Was, Wbp2, Wdr61, Wfs1, Wnt2, Wnt4, Wnt5a, Wt1, Wtap, Wwc1, Wwc2, Wwox, Wwp2, Xpo1, Yeats4, Ywhah, Yy2, Zbed3, Zbtb14, Zbtb18, Zbtb20, Zbtb33, Zbtb4, Zbtb42, Zbtb48, Zbtb7c, Zc3h10, Zc3h4, Zc3h6, Zc3h8, Zc3hav1, Zeb1, Zeb2, Zfp1, Zfp111, Zfp113, Zfp128, Zfp13, Zfp14, Zfp143, Zfp174, Zfp182, Zfp202, Zfp219, Zfp26, Zfp263, Zfp280c, Zfp30, Zfp316, Zfp341, Zfp354a, Zfp354b, Zfp354c, Zfp386, Zfp39, Zfp395, Zfp444, Zfp458, Zfp462, Zfp467, Zfp473, Zfp523, Zfp57, Zfp583, Zfp59, Zfp60, Zfp608, Zfp64, Zfp647, Zfp661, Zfp689, Zfp691, Zfp692, Zfp697, Zfp703, Zfp740, Zfp746, Zfp750, Zfp786, Zfp82, Zfp821, Zfp93, Zfpm1, Zfpm2, Zgpat, Zhx2, Zik1, Zkscan14, Zkscan6, Zmiz1, Zmym3, Znfx1, Zscan18
GO:0051254	BP	p	positive regulation of RNA metabolic process	520/7766	1226/15423	7.230528210018892e-09	7	520	3.989600192037918e-05	AW146154, Aatf, Abhd14b, Ablim1, Actr2, Acvr1b, Adarb1, Agap2, Ago1, Agrn, Ahr, Ahrr, Akt1, Ankrd49, Apbb1, Apoe, Arf4, Arid2, Arid3a, Arid3b, Arid5a, Arnt, Asph, Atad2, Atf1, Atf5, Atf6, Atf6b, Atf7ip, Atmin, Auts2, Banp, Bcas3, Bcl11b, Bcl2l12, Bcl9, Blm, Bmp2, Bmp4, Bmp5, Bmp7, Brca1, Brd8, Btrc, Camk1, Capn3, Caprin2, Carf, Carm1, Cask, Casz1, Ccdc62, Ccna2, Ccnb1, Ccnc, Ccnt2, Ccpg1, Cd28, Cd4, Cd40, Cdh13, Cdk2, Cdk5rap3, Cdon, Cebpa, Cebpe, Cela1, Celf4, Cenpk, Cep290, Chd8, Chek2, Churc1, Ciita, Cirbp, Cited2, Cnot8, Col1a1, Coq7, Cpeb1, Creb3, Creb3l1, Creb3l2, Crebrf, Ctbp2, Ctcf, Cx3cl1, Cxcr3, Cxxc1, Dab2, Dab2ip, Daxx, Dazap1, Dbp, Dcn, Ddx11, Ddx17, Ddx41, Ddx58, Deaf1, Dnajc2, Dpf2, Dpf3, Dtx3l, E2f1, E2f2, E2f8, Eaf2, Eapp, Ebf1, Ecd, Edn1, Efcab7, Egln1, Ehf, Eif2ak3, Elf3, Elf4, Elk1, Elk3, Ell, Ell3, Eny2, Epcam, Ercc2, Erlin1, Esr1, Esrra, Ets1, Etv6, Ezh1, Fadd, Flt3l, Foxa2, Foxf1, Foxm1, Foxo1, Foxo3, Fstl3, Fzd1, Fzd4, Fzd5, Fzd7, Fzd8, Gabpa, Gata4, Gdf2, Gm14434, Gpbp1l1, Gps2, Grhl3, Gsk3b, Gtf2a2, Gtf2f1, Gtpbp1, H1f0, H1fx, H2afz, Habp4, Hamp, Hand2, Hax1, Hdac1, Hdac4, Hdac8, Hdgf, Heatr1, Hes1, Hey1, Hey2, Heyl, Hif1a, Hif3a, Hist1h1c, Hist1h1d, Hist1h1e, Hivep3, Hlf, Hmgb1, Hmgb2, Hmgn3, Hnf1a, Hnf1b, Hnrnpab, Hnrnpd, Hnrnpr, Hoxa2, Hoxb2, Hras, Hsf4, Hsf5, Id4, Ifrd1, Igf1, Igf2, Ikbkb, Ikzf1, Ikzf2, Ikzf3, Ikzf4, Ikzf5, Il18, Il23a, Il33, Ilf3, Ilk, Inhba, Insig1, Iqce, Irf4, Irf5, Irf7, Irf8, Itga6, Itgb1bp1, Jag1, Jak3, Jup, Kat2a, Kat5, Khsrp, Klf1, Klf13, Klf4, Klf7, Lbh, Ldb1, Ldb2, Lef1, Lhx2, Lhx6, Litaf, Lmo7, Lpin1, Lpin2, Lyl1, Mafb, Mafg, Maged1, Maml2, Maml3, Map2k1, Map2k2, Map2k3, Map3k12, Mapk14, Mapk7, Mars, Mavs, Max, Mcrs1, Mdk, Mecom, Mecp2, Med10, Med16, Med19, Med4, Mef2c, Meis1, Meis2, Men1, Mettl14, Mettl16, Mettl23, Mettl3, Mitf, Mkx, Mllt10, Mllt3, Mlx, Mmp12, Mrpl12, Mtf1, Mybl1, Mybl2, Mycn, Naca, Nampt, Ncbp1, Ncf1, Nck1, Ncl, Ncoa1, Ndn, Nek4, Nfatc4, Nfe2, Nfe2l3, Nfic, Nfya, Nfyb, Nfyc, Ngfr, Nif3l1, Nmd3, Nodal, Notch3, Nr1d1, Nr1d2, Nr1h3, Nr1h4, Nr1i2, Nr2f1, Nr3c1, Nr4a2, Nr4a3, Nrf1, Ntf3, Nup85, Onecut1, Padi2, Pagr1a, Parp1, Parp9, Pax8, Pbx2, Pbx3, Pbx4, Pcbd1, Pcbp1, Pcgf5, Pcid2, Pdgfb, Pelp1, Per1, Pf4, Pik3r1, Pik3r2, Pim1, Pim2, Pin1, Plag1, Plekhn1, Pml, Pnpt1, Polr2g, Pou2af1, Pou2f1, Ppara, Ppard, Pparg, Ppargc1a, Ppargc1b, Ppp1r12a, Ppp2r5b, Ppp3cb, Prdm11, Prdm9, Prkd2, Prkdc, Prox1, Prox2, Prrx1, Psen1, Psmc2, Psmc3, Psmc3ip, Psmc4, Psmc5, Psmd9, Psrc1, Ptch1, Ptges2, Ptov1, Pygo1, Rad54l2, Rai1, Rara, Rarb, Rbck1, Rbpj, Rfc1, Rfx2, Rfx3, Rfxap, Rgma, Riok2, Ripk1, Rnasel, Rnf187, Rnf219, Rnf6, Rora, Rorc, Rps6ka1, Rps6ka3, Rps6ka4, Rreb1, Rrp1b, Runx1, Runx2, Runx3, Ruvbl2, Rxra, Rxrg, S1pr1, Sall2, Scap, Sertad2, Sfr1, Sfrp1, Sgsm1, Sirt2, Sirt3, Six5, Ski, Slc11a1, Slc38a3, Slc40a1, Smad2, Smad3, Smarca1, Smarca2, Smarca4, Snai1, Snrnp70, Snw1, Sox4, Sox6, Sox7, Sp1, Spag8, Spen, Spi1, Spib, Spin1, Spp1, Srebf1, Srebf2, Ss18, Ssbp2, Ssbp3, Stat1, Stat4, Sub1, Sumo2, Supt20, Supv3l1, Tada3, Taf2, Taf7, Taf8, Taf9b, Tbx21, Tcf12, Tcf4, Tcf7l1, Tead2, Tead4, Tef, Tert, Tet1, Tfap4, Tfdp1, Tfeb, Tfr2, Tgfb1, Tgfb1i1, Tgfb2, Tgfb3, Thoc5, Tlr3, Tlr4, Tlr9, Tmsb4x, Tnf, Tob1, Top2a, Tox2, Trerf1, Trf, Triap1, Trim16, Trim24, Trim44, Trip4, Trp53inp2, Tsc22d1, Ttc5, Upf1, Usf1, Vegfa, Vhl, Was, Wbp2, Wdr61, Wnt2, Wnt4, Wnt5a, Wt1, Wwox, Wwp2, Ywhah, Yy2, Zbed3, Zbtb18, Zbtb48, Zbtb7c, Zc3h8, Zc3hav1, Zeb1, Zeb2, Zfp113, Zfp143, Zfp219, Zfp444, Zfp462, Zfp467, Zfp523, Zfp64, Zfp691, Zfp697, Zfp740, Zfp746, Zfp750, Zfp821, Zfpm1, Zfpm2, Zmiz1
